name,party,"Agriculture, Nutrition and Forestry",Appropriations,Armed Services,"Banking, Housing, and Urban Affairs",Budget,"Commerce, Science, and Transportation",Energy and Natural Resources,Environment and Public Works,Finance,Foreign Relations,"Health, Education, Labor and Pensions",Homeland Security and Governmental Affairs,Judiciary,Rules and Administration,Small Business and Entrepreneurship,Veterans' Affairs
John Barrasso,R,,,,,,,,1,,,,,,,,
Joe Manchin,D,,,,,,,1,,,,,,,,,
Jeanne Shaheen,D,,1,,,,,,,,1,,,,,1,
Richard Shelby,R,,1,,,,,,,,,,,,1,,
Bill Cassidy,R,,,,,,,,,1,,,,,,,
Ben Cardin,D,,,,,,,,1,,1,,,,,,
Tom Carper,D,,,,,,,,1,,,,1,,,,
Lisa Murkowski,R,,1,,,,,1,,,,,,,,,
Mike Enzi,R,,,,,1,,,,,,1,,,,,
Deb Fischer,R,,,1,,,1,,,,,,,,,,
Luther Strange,R,1,,,,,,,,,,,,,,,
Jerry Moran,R,,1,,,,1,,,,,,,,,,
Claire McCaskill,D,,,,,,,,,,,,1,,,,
Thad Cochran,R,,1,,,,,,,,,,,,,,
Michael Bennet,D,1,,,,,,,,1,,,,,,,
Tom Cotton,R,,,1,1,,,,,,,,,,,,
Jack Reed,D,,1,1,,,,,,,,,,,,,
Martin Heinrich,D,,,1,,,,,,,,,,,,,
Al Franken,D,,,,,,,,,,,1,,1,,,
Rob Portman,R,,,,,,,,,1,,,1,,,,
Christopher Murphy,D,,,,,,,,,,1,,,,,,
Chris Van Hollen,D,1,,,,,,,,,,,,,,,
Elizabeth Warren,D,,,,1,,,,,,,,,,,,
Ted Cruz,R,,,,,,1,,,,,,,1,,,
Mazie Hirono,D,,,1,,,,1,,,,,,,,,
Debbie Stabenow,D,1,,,,,,,,1,,,,,,,
Steve Daines,R,1,,,,,,1,,,,,,,,,
Todd Young,R,,,,,,,,,,1,,,,,,
Richard Blumenthal,D,,,,,,1,,,,,,,1,,,
Sherrod Brown,D,,,,1,,,,,1,,,,,,,
Chris Murphy,D,,1,,,,,,,,,,,,,,
John McCain,R,,,1,,,,,,,,,,,,,
Tammy Duckworth,D,,,,,,,,1,,,,,,,,
Bob Menendez,D,,,,,,,,,,1,,,,,,
