"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017",
"Aruba","ABW","GDP per capita (current US$)","NY.GDP.PCAP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17342.4719395745","16441.7906361916","16585.1955307263","17926.5728361165","19081.351656125","19356.2033894901","20620.7006259175","20670.6556635493","20434.2994364477","20834.5101990131","22567.8249248908","23302.8319880055","24014.9442670501","25921.026051998","27546.8993898034","24631.4348604167","24271.9404205267","25324.7203624669","","","","","","",
"Afghanistan","AFG","GDP per capita (current US$)","NY.GDP.PCAP.CD","59.7773265083934","59.8781528089471","58.4928738323479","78.7827580362892","82.2084438594401","101.290471274167","137.899361896954","161.322000088481","129.506653844251","129.798541408375","157.187422389233","160.372835554154","136.117014381199","144.110318929266","174.94203831954","187.975604013726","199.026172729051","226.005343759305","249.287386261794","277.900741665078","274.880858701521","266.493041808705","","","","","","","","","","","","","","","","","","","","117.409690794955","187.845094955388","198.728543552291","219.141352785465","250.29412990949","272.563077018147","369.835795969823","373.361116300036","445.893297923744","553.300289383064","603.53702306241","669.009050888028","638.612543202424","629.345250369145","569.5779229167","561.77874627093","585.85006378237",
"Angola","AGO","GDP per capita (current US$)","NY.GDP.PCAP.CD","","","","","","","","","","","","","","","","","","","","","664.517363413755","600.770215634294","579.600714476235","582.770747310005","596.961625917961","712.468949402439","647.996506430846","721.080944466865","762.12790144694","863.085986793361","923.167260370878","","","","244.955297193522","389.741717056032","445.2647770853","508.750971475893","419.664969758931","385.769705914153","555.299384532021","526.168742996854","711.181789161759","779.468317011824","1041.087109209","1443.99192381072","2062.41521212341","2878.83730535623","3868.57901446005","3347.84490031366","3531.41687831962","4299.00813636005","4539.4676892715","4804.63382589612","4707.57809784664","3683.5526074127","3308.77282845577","4170.31228024945",
"Albania","ALB","GDP per capita (current US$)","NY.GDP.PCAP.CD","","","","","","","","","","","","","","","","","","","","","","","","","662.520052309521","662.914792567596","719.157295703914","699.384292086697","676.566732520011","723.409610237851","639.463899289892","348.711317786982","218.492165902633","380.527371084275","619.065163447139","760.559375774093","1046.35851070754","749.58464901464","865.302161769888","1098.42546340677","1175.78898079471","1326.97033929809","1453.64277657175","1890.68155733514","2416.58823505194","2709.14293061386","3005.01290331851","3603.01368536638","4370.53964653148","4114.13654490945","4094.35883191918","4437.17806843608","4247.61430826246","4413.08169670601","4578.66672753259","3952.83078116586","4131.87234065272","4537.8624924478",
"Andorra","AND","GDP per capita (current US$)","NY.GDP.PCAP.CD","","","","","","","","","","","3238.55684977329","3498.1736515232","4217.17358114253","5342.16856044208","6319.73903384837","7169.10100559556","7152.37513361051","7751.37021575891","9129.7061851808","11820.8493928325","12377.4116456877","10372.232834745","9610.26630831575","8022.65478128161","7728.90669456943","7774.39382903478","10361.8159820255","12616.167565929","14304.3569645785","15166.437850754","18878.5059692988","19532.5401504525","20547.7117897897","16516.4710272204","16234.8090102012","18461.0648581512","19017.1745902241","18353.0597218473","18894.5214963227","19261.7105038886","21936.5301014708","22228.8464928922","24741.4935704562","32776.4422698769","38503.4796144857","41282.0201219785","43748.7721588999","48582.8084550866","47785.6590856793","43339.3798746543","39736.3540626699","41098.7669417228","38391.0808669785","40619.7112977795","42294.9947269717","36038.2676044596","37231.8156714154","39146.5488360905",
"Arab World","ARB","GDP per capita (current US$)","NY.GDP.PCAP.CD","","","","","","","","","222.68885111732","238.909677070699","256.420887289367","289.545005991638","335.083670166768","414.097398679047","769.190157209857","826.003250346762","996.654547271719","1114.40034839007","1182.82729405922","1550.23598340421","2041.03141795694","2037.93523202026","1837.65992067359","1670.07037484043","1641.38122153545","1572.0508262697","1451.72375304695","1525.70405634911","1458.43330229159","1486.82597567434","1988.45873975817","1905.20915543899","2004.63397953138","1974.89059001548","1970.31573492223","2053.72142081089","2216.77512374652","2300.5881268492","2172.84800546751","2316.45929251385","2589.64845009439","2495.36631202567","2462.79144160802","2721.61572083946","3117.66080599144","3745.79093076212","4336.71858338256","4937.59821638754","6115.24374667477","5158.25050550075","5917.24572387373","6854.84452602316","7463.39972251033","7508.57330127736","7452.81467650502","6413.3771611793","6151.18092685222","6251.1415751198",
"United Arab Emirates","ARE","GDP per capita (current US$)","NY.GDP.PCAP.CD","","","","","","","","","","","","","","","","26556.080029911","29698.1692220993","33245.8360986374","27897.3270935772","32798.4782338538","41825.995457574","44012.333067279","39193.7409726279","34159.0373526707","31709.2543340905","29189.1677892304","23056.1045271808","23312.9295261613","21907.5979773605","23612.7451969684","27256.2909428352","26168.2666231036","25993.558007767","25199.3495771446","25467.1922190635","26847.080053195","28615.5821410126","29199.524610859","26663.3087045186","28260.0050167828","33071.2686869422","31061.5293454235","31311.3593562152","33230.5231807291","36161.1706068291","39439.8019679284","42372.2216623658","42672.6132294857","45758.9055356627","33072.5751663719","35037.8926731322","40434.3663503001","42086.689953233","43315.1414921653","44443.0615141941","39122.0497054272","38517.8003858029","40698.8493360368",
"Argentina","ARG","GDP per capita (current US$)","NY.GDP.PCAP.CD","","","","","","","","","","","","683.177372368609","1121.19023115449","1875.57500689713","2542.18583801146","1860.81237667585","1932.5907274166","2112.50116052922","2129.31381427593","2501.48080058477","2738.28465731655","2756.39690014611","2907.75754876007","3530.13180128917","2643.36933135443","2909.51653663349","3595.08595273267","3546.71879200031","3969.32744266489","2375.33910550631","4318.77469979309","5715.50439657303","6798.02676272931","6940.35035806909","7449.48038977242","7373.42824568235","7683.57406483774","8172.66432306173","8248.76198864344","7736.36962254054","7669.27391554066","7170.69467365192","2579.19316821209","3330.43700583548","4251.57434819873","5076.8838291729","5878.76102735208","7193.61763973522","8953.35927526277","8161.30696648652","10276.2604977053","12726.9083594731","12969.7071238969","12976.6364245411","12245.2564487696","13698.2934384857","12654.3549989958","14401.9748546081",
"Armenia","ARM","GDP per capita (current US$)","NY.GDP.PCAP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","637.855740930672","590.505538653332","369.708306129686","357.204229337129","400.51608165143","456.375926215331","504.059524444231","523.283575606133","609.173025391007","597.433479008799","622.742748815172","694.430511932268","783.261609869997","930.166156701539","1191.96191990706","1643.75854298145","2158.00290895457","3138.80870341248","4010.02699722693","2993.83253109033","3218.38165488465","3526.97814267659","3684.80481032649","3843.5912130934","3994.71235479566","3617.93574555176","3605.74311684256","3936.79831965287",
"American Samoa","ASM","GDP per capita (current US$)","NY.GDP.PCAP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8751.76652874972","8914.52543261668","8639.30885529158","8508.40691498359","8456.94799658994","8980.53641434813","9871.99719445906","12058.26382343","10352.8227618312","10375.9942154736","11660.329531052","11589.8530023324","11598.7517362051","11865.9632317194","11834.7452292307","",
