"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017",
"Aruba","ABW","Urban population","SP.URB.TOTL","27526","28141","28532","28761","28924","29082","29253","29416","29575","29738","29900","30082","30275","30470","30605","30661","30615","30495","30353","30282","30332","30560","30943","31365","31676","31762","31560","31142","30753","30720","31273","32507","34116","35953","37719","39172","40232","40970","41488","41945","42444","43048","43670","44246","44669","44889","44881","44686","44375","44052","43778","43575","43456","43398","43365","43331","43296","43271",
"Afghanistan","AFG","Urban population","SP.URB.TOTL","739590","779908","822904","868543","917278","968995","1023863","1081865","1143785","1210486","1282731","1360662","1443674","1530661","1620159","1710139","1801366","1893094","1980100","2053888","2077477","2079495","2063148","2036424","2011386","1998170","1998047","2011948","2050008","2124445","2243548","2416430","2639936","2893730","3147535","3378356","3574379","3741760","3897491","4068951","4276353","4527917","4816900","5128931","5441724","5739959","6016861","6278103","6535829","6808693","7111214","7449134","7817901","8209305","8609463","9008656","9402875","9795643",
"Angola","AGO","Urban population","SP.URB.TOTL","588866","621212","657233","695164","734733","775661","818062","862239","908895","958930","1013543","1069155","1126305","1188054","1254568","1325612","1401400","1482116","1568852","1662801","1765084","1876542","1997209","2125156","2257414","2391384","2525817","2661534","2801809","2951132","3113698","3291639","3484854","3690048","3903247","4120885","4341551","4567133","4802463","5054800","5329983","5630292","5956249","6306557","6679407","7071959","7485335","7920747","8379335","8861746","9370320","9905393","10464844","11046695","11649562","12272024","12913906","13575039",
"Albania","ALB","Urban population","SP.URB.TOTL","493982","513592","530766","547928","565248","582374","599300","616687","635924","656733","677801","698647","720649","742333","764166","786668","809052","832109","854618","876974","902120","927513","954645","982645","1011235","1040127","1068501","1098349","1127722","1167160","1197222","1198912","1209490","1219882","1230218","1240399","1250518","1260414","1270214","1279853","1289391","1298584","1327220","1354848","1381828","1407298","1430886","1452398","1473392","1495260","1519519","1546929","1575788","1603389","1629715","1653725","1678953","1704420",
"Andorra","AND","Urban population","SP.URB.TOTL","7839","8766","9754","10811","11915","13067","14262","15494","16765","18083","19458","20902","22401","23917","25397","26791","28085","29304","30491","31774","33205","34800","36561","38451","40421","42441","44342","46118","47926","49758","51627","53571","55546","57380","58847","59803","60128","59940","59605","59649","60417","61991","64194","66747","69192","71213","72761","73888","74525","74624","74161","73081","71474","69611","67841","66402","65389","64748",
"Arab World","ARB","Urban population","SP.URB.TOTL","28942239","30446953","32020431","33686952","35459848","37359336","39305024","41218526","43225262","45313438","47482360","49694609","52005840","54408370","56861365","59435700","62151874","64979632","67944537","71030308","74256377","77609044","81070195","84687438","88489442","92358599","96319023","100241710","104085395","107898289","113082408","117031665","119142113","123191553","126961865","132105803","135578816","139133474","142767585","146497312","150341498","154295973","158376383","162641528","167173066","172053353","177284703","182796645","188538975","194415471","200341856","206299403","212304727","218319352","224308828","230252968","236124336","241930762",
"United Arab Emirates","ARE","Urban population","SP.URB.TOTL","68086","75185","84633","95547","106555","116866","125990","134987","146189","162648","187928","222489","265542","316945","376148","442351","516927","599287","684443","766487","841308","904376","957179","1005543","1055125","1110115","1172239","1240490","1313734","1390716","1470486","1554469","1643437","1735329","1827250","1917891","2018071","2131334","2252863","2384852","2531386","2682611","2843208","3048627","3346830","3767239","4332435","5017724","5748242","6418534","6951923","7317401","7537260","7653612","7734365","7830681","7953698","8089577",
"Argentina","ARG","Urban population","SP.URB.TOTL","15177907","15550745","15916161","16283191","16650738","17017602","17383414","17749066","18120768","18505677","18909948","19327703","19762667","20210548","20661009","21106169","21543399","21974571","22405664","22844170","23296127","23780333","24285074","24799122","25319368","25842013","26365972","26891584","27418228","27944438","28469636","28987585","29462392","29933012","30397318","30852828","31298956","31735996","32167673","32599189","33033754","33472924","33918185","34367344","34816710","35263821","35708228","36151069","36595329","37043822","37499723","37963164","38432218","38903612","39372787","39836234","40292719","40742639",
"Armenia","ARM","Urban population","SP.URB.TOTL","960955","1012429","1065431","1119584","1174558","1229978","1285571","1341277","1397343","1454160","1511605","1569625","1628590","1688028","1747461","1801945","1855659","1908576","1960876","2007500","2047386","2085894","2122747","2159333","2197505","2238079","2282853","2330095","2372859","2393836","2385466","2353776","2302482","2240025","2178117","2125280","2084084","2052297","2027670","2006224","1984980","1964164","1950280","1938940","1926903","1913491","1897878","1880588","1861174","1842599","1829394","1822284","1820251","1822187","1825455","1828140","1829706","1830564",
"American Samoa","ASM","Urban population","SP.URB.TOTL","13251","13652","14163","14769","15416","16072","16721","17371","18009","18624","19209","19760","20281","20767","21222","21657","22055","22440","22859","23397","24125","25134","26312","27637","29059","30515","32019","33552","35087","36594","38076","39612","41058","42429","43766","45086","46402","47673","48895","50032","50956","51480","51915","52199","52270","52083","51612","50897","50072","49309","48735","48405","48278","48302","48377","48429","48453","48465",
